Case Number,Title,Slug,Category,Teaser,Status,Published Date,Staff Pick,Pinned,Views,Source URL,Verified Source,Subject Name,Subject Title,Subject Party,Date of Incident
CB-000089,Creflo Dollar's $65 Million Prayer: Pastor Asks Flock to Buy Him a Third Jet,creflo-dollar-65-million-gulfstream-jet-fundraiser-2015,religion,Prosperity gospel pastor Creflo Dollar launched a campaign in March 2015 asking supporters to collectively donate $65 million for a Gulfstream G650 private jet. Dollar was already operating two Gulfstream jets at the time and simultaneously preaching that giving to his ministry was the key to personal financial blessing.,published,2026-03-22,f,f,0,https://www.christianpost.com/news/creflo-dollar-asks-congregation-for-65-million-dollar-private-jet-donation.html,"World Changers Church International: Gulfstream G650 Fundraising Campaign (2015) :: Dollar, C. (2015, March). Public fundraising appeal: Project G650. World Changers Church International / Creflo Dollar Ministries, College Park, Georgia.",Creflo Dollar,"Senior Pastor, World Changers Church International",None,2015-03-12
CB-000090,The Mortgage Interest Deduction Cost the Federal Treasury $25 Billion in 2022. The IRS Statistics of Income Division Documents That the Top 20 Percent of Earners Claimed the Majority of the Benefit. The Bottom 80 Percent Claimed the Rest.,mortgage-interest-deduction-top-earners-irs-tax-policy-center,money_and_power,The mortgage interest deduction is the largest federal housing subsidy. The IRS data shows who claims it. The Tax Policy Center shows what that means for housing policy.,published,2026-04-03,f,f,0,,"IRS: Publication 936 Home Mortgage Interest Deduction 2024 :: Internal Revenue Service. (2024). Publication 936: Home Mortgage Interest Deduction. Washington, D.C.: IRS.;IRS Statistics of Income: Individual Income Tax Returns 2022 Table 2.1 :: Internal Revenue Service, Statistics of Income Division. (2024). Individual Income Tax Returns 2022, Table 2.1. Washington, D.C.: IRS.;Tax Policy Center: The Mortgage Interest Deduction 2024 :: Tax Policy Center. (2024). The Mortgage Interest Deduction. Washington, D.C.: Urban Institute and Brookings Institution.;CBO: Federal Housing Assistance for Low-Income Households 2015 2021 Update :: Congressional Budget Office. (2021). Federal Housing Assistance for Low-Income Households. Washington, D.C.: CBO.",,,,2024-02-01
CB-000091,The Inflation Reduction Act Passed 51-50. The Senate Roll Call and the FEC Energy Sector Contribution Database Use the Same Identifier: the Senator's Name.,inflation-reduction-act-senate-roll-call-fec-energy-sector-contributions-cross-reference,self_owned,"The Inflation Reduction Act, Public Law 117-169, passed 51-50 on August 7, 2022 (Senate Roll Call Vote 325). Every Republican voted no. The FEC energy sector contribution database is publicly searchable by senator name. Both databases were live on the same day. The cross-reference requires arithmetic, not investigation.",published,2026-04-02,f,f,0,,"Inflation Reduction Act :: Public Law 117-169 (August 16, 2022) :: United States Congress; Senate Roll Call Vote 325 :: August 7, 2022 :: U.S. Senate; OpenSecrets Industry Contribution Database :: Center for Responsive Politics :: opensecrets.org; FEC Committee and Receipts Database :: Federal Election Commission :: FEC.gov",,,,
CB-000092,"The FY2026 Defense Budget Is $838.7 Billion, Including $9.4 Billion Congress Added Above What the Pentagon Requested. The DoD Has Failed Every Audit Since 2018.",fy2026-defense-budget-838-billion-9-billion-unfunded-dod-audit-failure-brac,money_and_power,"The FY2026 defense appropriations total $838.7 billion, with $9.4 billion in programs the DoD did not request added by Congress. The DoD has failed every independent financial audit since 2018. The CBO long-term outlook projects federal debt at 107 percent of GDP by 2035. All three documents are public.",published,2026-04-02,f,f,0,,FY2026 National Defense Authorization Act :: United States Congress; DoD Annual Financial Report and Audit (FY2023) :: Department of Defense Inspector General (November 2023) :: dodig.mil; CBO Long-Term Budget Outlook :: Congressional Budget Office (March 2026) :: cbo.gov; DoD BRAC Requests :: Office of the Under Secretary of Defense (Comptroller) :: comptroller.defense.gov,,,,
CB-000093,The Infrastructure Investment and Jobs Act Passed 228-206. The Members Who Voted No Did Not Stop the Grant Announcements.,infrastructure-investment-jobs-act-roll-call-369-vote-no-grant-announcements,self_owned,"House Roll Call 369, November 5, 2021: 228 for, 206 against. Thirteen Republicans who voted yes lost committee assignments or faced primary challenges. USASpending.gov documents where the money went. The vote record and the grant database, placed together, produce a specific result.",published,2026-04-02,f,f,0,,"Infrastructure Investment and Jobs Act :: Public Law 117-58 (2021) :: United States Congress; House Roll Call Vote 369 :: November 5, 2021 :: Office of the Clerk, U.S. House of Representatives; USASpending.gov IIJA Disbursement Database :: Bureau of the Fiscal Service (ongoing) :: U.S. Department of the Treasury; GAO Report on IIJA Implementation :: Government Accountability Office (2022-2023) :: GAO",,,,
CB-000094,A Jury of Your Peers. America's Most Durable Constitutional Lie.,jury-of-peers-equal-protection-constitutional-lie-documented-record,law_and_justice,"The Sixth Amendment guarantees the right to a jury of one's peers. The Fourteenth Amendment guarantees equal protection under the law. The Supreme Court has ruled jury discrimination unconstitutional in 1880, 1965, 1986, and beyond. The documented record of what happened after each ruling is the article.",published,2026-03-27,f,f,0,,"U.S. Constitution, Sixth Amendment :: U.S. Constitution, amend. VI. (1791). Rights of Accused in Criminal Prosecutions. National Archives. https://www.archives.gov/founding-docs/bill-of-rights-transcript; U.S. Constitution, Fourteenth Amendment :: U.S. Constitution, amend. XIV, § 1. (1868). Equal Protection and Due Process Clause. National Archives. https://constitution.congress.gov/constitution/amendment-14/; Strauder v. West Virginia (1880) :: Strauder v. West Virginia, 100 U.S. 303 (1880). Supreme Court of the United States. https://supreme.justia.com/cases/federal/us/100/303/; Swain v. Alabama (1965) :: Swain v. Alabama, 380 U.S. 202 (1965). Supreme Court of the United States. https://supreme.justia.com/cases/federal/us/380/202/; Batson v. Kentucky (1986) :: Batson v. Kentucky, 476 U.S. 79 (1986). Supreme Court of the United States. https://supreme.justia.com/cases/federal/us/476/79/; Hoyt v. Florida (1961) :: Hoyt v. Florida, 368 U.S. 57 (1961). Supreme Court of the United States. https://supreme.justia.com/cases/federal/us/368/57/; Taylor v. Louisiana (1975) :: Taylor v. Louisiana, 419 U.S. 522 (1975). Supreme Court of the United States. https://supreme.justia.com/cases/federal/us/419/522/; Civil Rights Act of 1957 :: Civil Rights Act of 1957, Pub. L. 85-315, 71 Stat. 634 (1957). U.S. Government Publishing Office. https://www.govinfo.gov/content/pkg/STATUTE-71/pdf/STATUTE-71-Pg634.pdf; Equal Justice Initiative: Illegal Racial Discrimination in Jury Selection :: Equal Justice Initiative. (2010). Illegal Racial Discrimination in Jury Selection: A Continuing Legacy. Equal Justice Initiative. https://eji.org/reports/illegal-racial-discrimination-in-jury-selection/; North Carolina Racial Justice Act Findings :: North Carolina Office of the Capital Defender. (2010–2012). Statistical Analysis of Race and Jury Selection Under the North Carolina Racial Justice Act. Administrative Office of the Courts, State of North Carolina.; Emmett Till Trial Record (1955) :: Tallahatchie County Circuit Court. (1955). State of Mississippi v. Roy Bryant and J.W. Milam, Trial Transcript. Tallahatchie County, Mississippi. [Bryant and Milam confession: Huie, W. B. (1956, January). The Shocking Story of Approved Killing in Mississippi. Look Magazine.]; Peremptory Challenge Reform — Arizona and Washington :: Arizona Supreme Court. (2021). Order Amending Rules 18.4 and 18.5, Arizona Rules of Criminal Procedure. ADC No. R-20-0039.; Washington State Superior Court Judges' Association. (2023). GR 37 — Jury Selection Procedures. Washington Courts.",,,,
CB-000095,The Gut-Brain Axis: Your Second Brain Is Running the Show More Than You Know,gut-brain-axis-second-brain-microbiome-serotonin-mental-health,health_and_healing,"90 to 95 percent of the body's serotonin is produced in the gut, not the brain. The enteric nervous system has 100 million neurons and can operate independently of the brain above the neck. The microbiome that lives in that system directly influences mood, cognition, and immune function. The research on this is 25 years deep and accelerating.",published,2026-04-02,t,f,0,,Gershon (1998) :: The Second Brain :: HarperCollins; Yano et al. (2015) :: Indigenous bacteria from the gut microbiota regulate host serotonin biosynthesis :: Cell; Cryan and Dinan (2012) :: The microbiome-gut-brain axis: from bowel to behavior :: Nature Reviews Neuroscience; Valles-Colomer et al. (2019) :: The neuroactive potential of the human gut microbiota in quality of life and depression :: Nature Microbiology; Porges (1994) :: The polyvagal theory: phylogenetic substrates of a social nervous system :: Psychophysiology; Sonnenburg et al. (2015) :: Diet-induced alterations in gut microflora contribute to lethal pulmonary damage :: Nature; Wastyk et al. (2021) :: Gut-microbiota-targeted diets modulate human immune status :: Cell,,,,
CB-000096,"The Bracero Program's Stolen Wages: 4.6 Million Workers, a Treaty Obligation, and Money That Was Never Returned",bracero-program-stolen-wages-mexico-farmworkers-labor-history,us_history,4.6 million Mexican workers came to the United States under a formal bilateral treaty between 1942 and 1964. Ten percent of their wages was withheld and placed in a savings fund guaranteed by both governments. The money was never returned. The records existed the entire time.,published,2026-04-02,t,f,0,,"US Congress (1943) :: Public Law 45: An Act to Provide for the Temporary Admission of Agricultural Workers :: 78th Congress, 1st Session; President's Commission on Migratory Labor (1951) :: Migratory Labor in American Agriculture :: Government Printing Office; Gutierrez (2001) :: Cruz v. United Mexican States and Wells Fargo Bank :: Northern District of California; Fishback (2008) :: Legal obstacles to Bracero wage recovery :: Georgetown Immigration Law Journal; Calavita (1992) :: Inside the State: The Bracero Program, Immigration and the INS :: Routledge; Galarza (1964) :: Merchants of Labor: The Mexican Bracero Story :: McNally and Loftin",,,,
CB-000097,The Blue Zones: What Five Populations of the World's Longest-Lived People Actually Do,blue-zones-longevity-okinawa-sardinia-loma-linda-ikaria-nicoya,health_and_healing,"Five geographic regions on four continents show dramatically higher concentrations of people living past 90 and 100, with measurably lower rates of chronic disease. The research identifies nine lifestyle factors common to all five. None of them are available for purchase at a pharmacy.",published,2026-04-02,f,f,0,,"Buettner (2005) :: The secrets of long life :: National Geographic; Buettner (2008) :: The Blue Zones: Lessons for Living Longer from the People Who've Lived the Longest :: National Geographic Society; Suzuki, B. Willcox, and D.C. Willcox (2001) :: The Okinawa Program :: Clarkson Potter; Orlich et al. (2013) :: Vegetarian dietary patterns and mortality in Adventist Health Study 2 :: JAMA Internal Medicine; Song et al. (2016) :: Association of animal and plant protein intake with all-cause and cause-specific mortality :: JAMA Internal Medicine; Chrysohoou et al. (2011) :: The cardiovascular risk factors status of the inhabitants of Ikaria :: European Journal of Cardiovascular Prevention and Rehabilitation; Naska et al. (2007) :: Siesta in healthy adults and coronary mortality in the general population :: Archives of Internal Medicine",,,,
CB-000098,The 1887 Dawes Act Transferred 90 Million Acres. Here Is What That Costs in 2025.,dawes-act-1887-90-million-acres-2025-cost,us_history,"In 1887, American Indian tribes held 138 million acres. By 1934, federal allotment policy had reduced that to 48 million. The $180 billion floor on what was transferred, and the 25.4 percent poverty rate that followed, are both in the federal record. They have never been assembled in one place.",published,2026-04-02,t,f,1,,"Dawes General Allotment Act :: 24 Stat. 388 (1887) :: United States Congress; Burke Act :: 34 Stat. 182 (1906) :: United States Congress; The Problem of Indian Administration (Meriam Report) :: Lewis Meriam (1928) :: Institute for Government Research; Land Values Summary :: National Agricultural Statistics Service (2022) :: U.S. Department of Agriculture; Demographic and Socioeconomic Profile of American Indians and Alaska Natives :: National Congress of American Indians (2020) :: NCAI Policy Research Center; Indians, Bureaucrats, and Land :: Leonard Carlson (1981) :: Greenwood Press; A Final Promise :: Frederick Hoxie (2001) :: University of Nebraska Press; American Indian Policy Review Commission Final Report :: U.S. Congress (1977) :: U.S. Government Printing Office",,,,
CB-000099,The Biological Age Gap: The Epigenetic Receipts on Why Some Bodies Are Aging Faster Than Others,biological-age-gap-epigenetic-receipts-bodies-aging-faster,nerd_out,"Your birth certificate documents one number. Your DNA methylation profile documents another. The gap between them is not random. The peer-reviewed record shows it correlates with documented environmental stressors, and some of those stressors have zip codes.",published,2026-03-30,f,f,5,,"Horvath epigenetic clock biological age measurement across human tissues (2013) :: Genome Biology. (2013). DNA Methylation Age of Human Tissues and Cell Types. University of California Los Angeles.; GrimAge mortality-predicting epigenetic clock (2019) :: Aging. (2019). DNA Methylation GrimAge Strongly Predicts Lifespan and Healthspan. University of California Los Angeles.; DunedinPACE pace-of-aging DNA methylation biomarker (2022) :: eLife. (2022). DunedinPACE, a DNA Methylation Biomarker of the Pace of Aging. Duke University.; Weathering hypothesis original formulation documenting racial biological age disparities (1992) :: Ethnicity and Disease. (1992). The Weathering Hypothesis and the Health of African-American Women and Infants. University of Michigan.; Allostatic load racial health disparities documented from national survey data (2006) :: American Journal of Public Health. (2006). Weathering and Age Patterns of Allostatic Load Scores Among Blacks and Whites in the United States. University of Michigan.; Caloric restriction slows epigenetic aging in CALERIE randomized clinical trial (2023) :: Nature Aging. (2023). Effect of Long-Term Caloric Restriction on DNA Methylation Measures of Biological Aging in Healthy Adults from the CALERIE Trial. Columbia University.; Allostatic load concept and stress adaptation model (1998) :: Annals of the New York Academy of Sciences. (1998). Stress, Adaptation, and Disease: Allostasis and Allostatic Load. Rockefeller University.; Accelerated telomere shortening documented in response to chronic life stress (2004) :: Proceedings of the National Academy of Sciences. (2004). Accelerated Telomere Shortening in Response to Life Stress. University of California San Francisco.",,,,
CB-000100,"Dillon Awes: Texas Pastor Calls for Execution of Gay People, Then His Own Church Implodes",dillon-awes-stedfast-baptist-execution-sermon-church-split,religion,"Pastor Dillon Awes of Stedfast Baptist Church delivered a sermon calling for gay people to be shot in the back of the head. Shortly after, his church's lead pastor was exposed for soliciting prostitutes and gambling, forcing the congregation to fracture.",published,2026-03-22,f,f,1,https://www.nbcnews.com/nbc-out/out-news/texas-pastor-says-gay-people-shot-back-head-shocking-sermon-rcna32748,"Dillon Awes: Stedfast Baptist Sermon on Homosexuality (2022) :: Awes, D. (2022). Sermon: homosexuality and the death penalty. Stedfast Baptist Church, Fort Worth, Texas.; Stedfast Baptist Church Split: Official Pastoral Record :: Stedfast Baptist Church Leadership. (2023). Pastoral transition record. Stedfast Baptist Church, Fort Worth, Texas.",Dillon Awes,"Pastor, Stedfast Baptist Church",None,2022-06-01
CB-000101,"The IMF Required Nations to Cut Food Subsidies, Devalue Their Currencies, and Privatize Public Services Before Receiving Loans. The World Bank's Own Internal Review Documented the Results.",imf-structural-adjustment-programs-food-subsidies-privatization-world-bank-review,global_south,"Between 1980 and 2000, the International Monetary Fund made structural adjustment a standard loan condition for developing nations. A World Bank internal review later found that those conditions frequently failed to produce the promised growth while causing documented harm to the poorest populations.",published,2026-04-03,f,f,0,,"World Bank Internal Review :: World Bank Operations Evaluation Department (2001). Structural Adjustment: The World Bank Experience. :: World Bank Group; IMF Staff Report :: International Monetary Fund (2000). Review of Poverty Reduction Strategy Paper Approach: Early Experience. :: IMF Policy Development and Review Department; UNICEF Report :: Cornia, Jolly, Stewart (1987). Adjustment with a Human Face: Protecting the Vulnerable and Promoting Growth. :: UNICEF / Oxford University Press; Stiglitz, Joseph :: Stiglitz, Joseph E. (2002). Globalization and Its Discontents. :: W.W. Norton and Company",,,,1980-01-01
CB-000102,"The Power of Faith to Disrupt Hate, Xenophobia, and Nativism. The Time for Unity Is NOW.",faith-power-disrupt-hate-xenophobia-nativism-unity,religion,"Faith communities have historically been the primary organized force against hate, xenophobia, and nativism in America. The primary source record shows this is not theology. It is documented history.",published,2026-03-22,f,t,3,https://www.theguardian.com/world/2006/nov/03/usa.religion,"Matthew 25:35 :: I was a stranger and you welcomed me (ca. 30 CE) :: King James Bible (1611); Leviticus 19:34 :: Love the stranger as yourself; for you were strangers in the land of Egypt (ca. 450 BCE) :: Torah; Quran 2:177 :: Righteousness is to give of one's wealth to travelers, the needy, and those in bondage (632 CE) :: Quran; Bonhoeffer (1945) :: Letters and Papers from Prison (1945) :: SCM Press; Romero (1980) :: The Violence of Love: collected homilies of Archbishop Oscar Romero :: Orbis Books; Inter-American Commission on Human Rights (1978) :: Report on the Situation of Human Rights in El Salvador (1978) :: Organization of American States; King (1963) :: Letter from Birmingham Jail (1963) :: Library of Congress; SCLC founding charter (1957) :: Statement of purpose of the Southern Christian Leadership Conference (1957) :: King Center Digital Archive; Heschel Archives :: I felt my legs were praying: Heschel letter on the Selma march (1965) :: Abraham Joshua Heschel Archives; FBI Selma surveillance records (1965) :: Documented attendance of approximately 3,200 clergy from 38 states at the Selma to Montgomery march :: National Archives and Records Administration; Southside Presbyterian Church sanctuary declaration (1982) :: We can no longer be a party to the death of refugees: founding declaration of the U.S. Sanctuary Movement :: University of Arizona Special Collections; United States v. Aguilar et al. (1985) :: Federal indictment of Sanctuary Movement leaders (1985) :: U.S. District Court, District of Arizona; Pope Francis (2020) :: Fratelli Tutti: On Fraternity and Social Friendship :: Vatican Press Office; U.S. Conference of Catholic Bishops and Catholic Bishops of Mexico (2003) :: Strangers No Longer: Together on the Journey of Hope :: USCCB Publishing; National Council of Churches (2022) :: Statement on Christian Nationalism and Its Incompatibility with the Gospel :: National Council of Churches; Thurman (1949) :: Jesus and the Disinherited :: Abingdon-Cokesbury Press",,,,2006-11-02
CB-000103,One in Four Workers Eligible for a 401(k) Employer Match Is Not Claiming It. The Department of Labor Calls It a Benefit. The IRS Has a Name for Leaving It Behind. The Primary Source Is Vanguard's Annual Report.,401k-employer-match-unclaimed-vanguard-dol-data,money_and_power,The 401(k) employer match is the highest-return investment available to most American salaried workers. Vanguard documents the one-in-four who miss it.,published,2026-04-03,f,f,0,,"Vanguard: How America Saves 2024 :: Vanguard Group. (2024). How America Saves 2024. Malvern, PA: Vanguard.;IRS: 401(k) Plans, Deferrals and Matching Contributions :: Internal Revenue Service. (2024). Retirement Plans: 401(k) Plans. IRS.gov.;DOL: A Look at 401(k) Plan Fees :: U.S. Department of Labor, Employee Benefits Security Administration. (2024). A Look at 401(k) Plan Fees. Washington, D.C.: DOL.;Pension Protection Act of 2006 (Public Law 109-280) :: U.S. Congress. (2006). Pension Protection Act of 2006. Public Law 109-280.",,,,2024-07-01
CB-000104,"Absurd: Sen. Ted Cruz Claims 'Christ is King' is Anti-Jewish. Yes He Actually Said it. Except, Of Course, Jesus Was Jewish.",ted-cruz-christ-is-king-antisemitic-aipac,self_owned,"In a March 2026 CBN News interview, the Texas senator told a Christian audience that one of Christianity's oldest theological affirmations is, in his words, 'I hate the Jews.' His evangelical base responded immediately. So did the FEC records.",published,2026-03-22,f,t,38117,,"Ted Cruz: FEC Campaign Finance Records :: Federal Election Commission. (2024). Ted Cruz for Senate Campaign Finance Disclosures. FEC Public Records Archive. (Includes AIPAC-connected PAC contributions.); Ted Cruz: Official Senate Statement :: Cruz, T. (2025). Public statement regarding use of ""Christ is King."" Congressional Record, 119th Congress, 1st Session.",Ted Cruz,U.S. Senator,Republican,2026-03-12
CB-000105,S&P 500 Companies Spent $795 Billion on Stock Buybacks in 2023 and $9 Trillion Since 2010. The SEC Now Requires Daily Disclosure of Buyback Activity. The 1 Percent Excise Tax Was Enacted in 2022. The Academic Debate Is in the Peer-Reviewed Record.,stock-buybacks-795-billion-2023-sec-disclosure-excise-tax,money_and_power,The scale of S&P 500 buyback activity is documented in public SEC filings. The 2022 excise tax and 2023 disclosure rules are in the primary source federal regulatory record.,published,2026-04-03,f,f,1,,"S&P Global: S&P 500 Buybacks and Dividends Report Q4 2023 :: S&P Global. (2024). S&P 500 Buybacks and Dividends Report, Q4 2023. New York: S&P Global.;SEC: Rule 10b-18 17 CFR 240.10b-18 Purchases of Certain Equity Securities :: U.S. Securities and Exchange Commission. (2024). Rule 10b-18: Purchases of Certain Equity Securities. 17 CFR 240.10b-18.;Inflation Reduction Act of 2022 Section 4501 Excise Tax on Repurchase of Corporate Stock :: U.S. Congress. (2022). Inflation Reduction Act of 2022, Section 4501. Public Law 117-169.;SEC: Final Rule Share Repurchase Disclosure Modernization Release No 33-11150 2023 :: U.S. Securities and Exchange Commission. (2023). Share Repurchase Disclosure Modernization. Release No. 33-11150.",,,,2024-04-15
CB-000106,The Federal Government Has Paid $425 Billion in Farm Subsidies Since 1995. The Distribution Is in the USDA Record.,farm-subsidies-425-billion-ewg-database-usda-distribution-record,self_owned,"The EWG Farm Subsidy Database, built from USDA records, documents $425 billion in payments from 1995 to 2021. The top 10 percent of recipients received 78 percent. The distribution, the recipient list, and the voting records of the legislators who defend the program are all in the public record.",published,2026-04-02,f,f,0,,EWG Farm Subsidy Database (1995-2021) :: Environmental Working Group :: ewg.org; Farm Subsidy Distribution :: USDA Farm Service Agency Records :: U.S. Department of Agriculture; GAO Report GAO-19-724 :: Government Accountability Office (2019) :: GAO; Agriculture Improvement Act of 2018 :: Public Law 115-334 (2018) :: United States Congress,,,,
CB-000107,Bowe v. United States (Docket 24-5438): The Supreme Court Will Decide Whether a Geofence Warrant Capturing Thousands of People's Location Data Requires Individualized Probable Cause.,bowe-v-united-states-docket-24-5438-geofence-warrant-fourth-amendment-supreme-court,law_and_justice,"Bowe v. United States, Docket 24-5438, is before the Supreme Court in the 2025-2026 term. A geofence warrant compels a technology company to produce location data for every device in a defined area during a specified window. Carpenter v. United States (2018) left this question open. Bowe resolves it.",published,2026-04-02,f,f,0,,"Bowe v. United States :: Docket No. 24-5438 (2025-2026 Term) :: U.S. Supreme Court; Carpenter v. United States :: 585 U.S. 296 (2018) :: U.S. Supreme Court; Smith v. Maryland :: 442 U.S. 735 (1979) :: U.S. Supreme Court; Fourth Amendment, U.S. Constitution :: Article IV (sic Bill of Rights) :: U.S. Constitution",,,,
CB-000108,What is Primary Source Journalism? How ClownBinge Solves the Media Trust Crisis with Evidence,facts-not-left-or-right-primary-source-journalism,how_it_works,Trust in mass media fell to 34 percent in 2022. A decade of peer-reviewed research explains exactly why the collapse happened and why primary source journalism is the only structural remedy.,published,2026-03-31,f,f,6,,"Media Trust Decline :: Gallup, Inc. (2022). Confidence in Institutions. Gallup Organization.; What Drives Media Slant :: Gentzkow, M., & Shapiro, J.M. (2010). What Drives Media Slant? Evidence from U.S. Daily Newspapers. Econometrica, 78(1), 35-71. Econometric Society.; How Partisan Media Polarize America :: Levendusky, M. (2013). How Partisan Media Polarize America. University of Chicago Press.; Niche News and Selective Exposure :: Stroud, N.J. (2011). Niche News: The Politics of News Choice. Oxford University Press.; Post-Broadcast Democracy :: Prior, M. (2007). Post-Broadcast Democracy. Cambridge University Press.; Political Polarization and Media Habits :: Pew Research Center (2014). Political Polarization and Media Habits. Pew Research Center.; Fake News in the 2016 Election :: Allcott, H., & Gentzkow, M. (2017). Social Media and Fake News in the 2016 Election. Journal of Economic Perspectives, 31(2), 211-236. American Economic Association.; The Science of Fake News :: Lazer, D.M.J. et al. (2018). The science of fake news. Science, 359(6380), 1094-1096. American Association for the Advancement of Science.; Exposure to Untrustworthy Websites :: Guess, A., Nyhan, B., & Reifler, J. (2020). Exposure to untrustworthy websites in the 2016 U.S. election. Nature Human Behaviour, 4, 472-480. Nature Publishing Group.; Red Media Blue Media :: Iyengar, S., & Hahn, K.S. (2009). Red Media, Blue Media: Evidence of Ideological Selectivity in Media Use. Journal of Politics, 71(1), 19-39. Southern Political Science Association.; Motivated Political Reasoning :: Taber, C.S., & Lodge, M. (2006). Motivated Skepticism in the Evaluation of Political Beliefs. American Journal of Political Science, 50(3), 755-769. Midwest Political Science Association.",,,,
CB-000109,"A Country Built on Stolen Land, Stolen Labor, and Stolen Lives Would Like You to Know It Built Itself.",who-built-america-stolen-land-stolen-labor-wealth-gap-economic-record,us_history,"The argument that Black, Indigenous, and Mexican people are lazy was invented by the same civilization that crossed an ocean to kidnap African people because it refused to do its own work. Edward Baptist documented what that labor actually produced. The Federal Reserve has the current numbers. The gap between those two data points is not an accident. It is a policy outcome.",published,2026-03-27,f,f,0,,"Baptist, E. E. (2014) — The Half Has Never Been Told :: Baptist, E. E. (2014). The half has never been told: Slavery and the making of American capitalism. Basic Books.; U.S. Census Bureau (1860) — Eighth Census of the United States :: U.S. Census Bureau. (1860). Eighth Census of the United States: Slave Schedules. National Archives and Records Administration. https://www.archives.gov/research/census/1860; Federal Reserve Board — Survey of Consumer Finances (2022) :: Board of Governors of the Federal Reserve System. (2023). Changes in U.S. Family Finances from 2019 to 2022: Evidence from the Survey of Consumer Finances. Federal Reserve Bulletin. https://www.federalreserve.gov/publications/files/scf23.pdf; Homestead Act of 1862 :: Homestead Act of 1862, 12 Stat. 392 (1862). U.S. Government Publishing Office. https://www.loc.gov/rr/program/bib/ourdocs/Homestead.html; Katznelson, I. (2005) — When Affirmative Action Was White :: Katznelson, I. (2005). When affirmative action was white: An untold history of racial inequality in twentieth-century America. W.W. Norton & Company.; HOLC Residential Security Maps (1935–1940) — National Archives :: Home Owners' Loan Corporation. (1935–1940). Residential Security Maps. Record Group 195, National Archives and Records Administration. https://www.archives.gov/research/housing/holc; Servicemen's Readjustment Act of 1944 — Racial Administration :: U.S. Congress. (1944). Servicemen's Readjustment Act of 1944, Pub. L. 78-346. [For discriminatory administration: Turner, M., & Bound, J. (2003). Closing the gap or widening the divide: The effects of the GI Bill and World War II on the educational outcomes of Black Americans. Industrial and Labor Relations Review, 56(3), 460–474.]; Bureau of Refugees, Freedmen, and Abandoned Lands (Freedmen's Bureau) :: U.S. Bureau of Refugees, Freedmen, and Abandoned Lands. (1865–1872). Records of the Bureau of Refugees, Freedmen, and Abandoned Lands. Record Group 105, National Archives and Records Administration. https://www.archives.gov/research/african-americans/freedmens-bureau; Hamilton, D., & Darity, W. A., Jr. (2010) — Baby Bonds and Racial Wealth Gap :: Hamilton, D., & Darity, W. A., Jr. (2010). Can 'baby bonds' eliminate the racial wealth gap in putative post-racial America? The Review of Black Political Economy, 37(3–4), 207–216. https://doi.org/10.1007/s12114-010-9063-1; National Commission on Urban Problems (1968) — Douglas Commission Report :: National Commission on Urban Problems. (1968). Building the American City: Report of the National Commission on Urban Problems. U.S. Government Printing Office.",,,,
CB-000110,"Do we Need Less Sleep As We Age? ClownBinge Investigates Aging, Energy, and the Sleep We Require to Maintain",sleep-aging-how-much-sleep-older-adults-slow-wave-glymphatic,health_and_healing,"The common belief that older adults need less sleep is a misreading of the data. What changes with age is not the sleep requirement. What changes is the brain's ability to produce it. The difference between those two things has measurable consequences for memory, cognition, and longevity.",published,2026-04-02,f,f,0,,"National Sleep Foundation (2015) :: Recommended sleep times: a consensus statement from the National Sleep Foundation :: Sleep Health; Mander, Winer, and Walker (2017) :: Sleep and human aging :: Nature Neuroscience; Stickgold et al. (2000) :: Visual discrimination learning requires sleep after training :: Science; Xie et al. (2013) :: Sleep drives metabolite clearance from the adult brain :: Science; Sabia et al. (2021) :: Association of sleep duration in middle and old age with incidence of dementia :: Nature Communications; Ju et al. (2017) :: Slow wave sleep disruption increases cerebrospinal fluid amyloid-beta levels :: Brain; Czeisler et al. (1999) :: Stability, precision, and near-24-hour period of the human circadian pacemaker :: Science; Walker (2017) :: Why We Sleep: Unlocking the Power of Sleep and Dreams :: Scribner",,,,
CB-000111,The Arithmetic of Presence: What the 2020 and 2025 Census Records Actually Document About White America. A ClownBinge Exclusive.,arithmetic-of-presence-census-2020-2025-white-america,us_history,"The claim that White America is being 'replaced' or 'erased' has circulated in political discourse at the highest levels of American media and government. ClownBinge does not characterize the claim. It documents whether the claim is arithmetically sustainable. The Federal Reserve, the U.S. Census Bureau, and the Federal Judicial Center have already answered the question. The ledger is below.",published,2026-03-24,f,f,3,,"U.S. Census Bureau: Decennial Census and Population Estimates (2020, 2023) :: U.S. Census Bureau. (2020, 2023). Decennial Census and Population Estimates Program. U.S. Department of Commerce, Washington, D.C.; Federal Reserve: Survey of Consumer Finances (2022) :: Board of Governors of the Federal Reserve System. (2022). Survey of Consumer Finances. Federal Reserve Board, Washington, D.C.; Federal Reserve: Distributional Financial Accounts :: Board of Governors of the Federal Reserve System. (2024). Distributional Financial Accounts. Federal Reserve Board, Washington, D.C.; Federal Judicial Center: Judicial Demographics :: Federal Judicial Center. (2024). Federal Judicial Center Biographical Database. Washington, D.C.; Congressional Research Service: Demographic Research :: Congressional Research Service. (2024). Research Reports on Demographic Trends. Library of Congress, Washington, D.C.; Pew Research Center: Demographic Studies :: Pew Research Center. (2024). Demographic Research and Survey Reports. Pew Research Center, Washington, D.C.",,,,2021-08-12
